node_1,node_2,chunk_id,count,edge
american officials,funding for hamas's stockpile of arms and fuel,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,funding hamas,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,goods,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",4,contextual proximity
american officials,goods brought into gaza,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,hamas,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",7,contextual proximity
american officials,hamas's financiers,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,hamas's income,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",4,contextual proximity
american officials,import taxes,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",4,contextual proximity
american officials,income stream,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,iran,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,israel,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",6,contextual proximity
american officials,larger income stream,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,missiles,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,money for hamas,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,movement of goods and people,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,redin,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
american officials,schoolteachers' salaries,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,three rounds of restrictions,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american officials,west bank,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american sanctions,american officials,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,1f830bf583c64d58bd16743a06aaee08",3,contextual proximity
american sanctions,companies,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
american sanctions,firms,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
american sanctions,goods,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american sanctions,hamas,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",7,contextual proximity
american sanctions,hamas's income,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american sanctions,import taxes,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
american sanctions,israel,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",3,contextual proximity
american sanctions,redin,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
america’s sanctions,hamas,"e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95",5,contextual proximity
america’s sanctions,israel,"e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95",4,contextual proximity
america’s treasury department,companies,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
america’s treasury department,firms,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
america’s treasury department,hamas,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",7,contextual proximity
america’s treasury department,redin,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
amman,doha,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
amman,hamas,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
amman,hamas’s bankers,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
amman,istanbul,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
amman,recep tayyip erdogan,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
amman,revenue streams,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
amman,turkish government,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
amman,zaher jabarin,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
annual income,hamas,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2",3,contextual proximity
annual income,hamas's financial empire,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2",4,contextual proximity
annual income,israel,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2",3,contextual proximity
annual income,man,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2",2,contextual proximity
another firm,companies,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
another firm,firms,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
another firm,hamas,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",7,contextual proximity
another firm,redin,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
attacks on gaza,hamas,"e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95",5,contextual proximity
attacks on gaza,israel,"e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95",4,contextual proximity
ayatollahs,american officials,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
ayatollahs,goods,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
ayatollahs,hamas's income,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
ayatollahs,import taxes,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
ayatollahs,israel,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",3,contextual proximity
basic necessities,american officials,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
basic necessities,goods,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
basic necessities,hamas's income,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
basic necessities,import taxes,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
basic necessities,israel,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",3,contextual proximity
biggest friendly government,american officials,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
biggest friendly government,goods,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
biggest friendly government,hamas's income,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
biggest friendly government,import taxes,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
biggest friendly government,israel,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",3,contextual proximity
binance,companies,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
binance,firms,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
binance,hamas,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",7,contextual proximity
binance,redin,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
board seats,hamas,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2",3,contextual proximity
board seats,hamas's financial empire,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2",4,contextual proximity
board seats,israel,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2",3,contextual proximity
board seats,man,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2",2,contextual proximity
border,american officials,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
border,goods,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
border,hamas's income,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
border,import taxes,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",2,contextual proximity
border,israel,"22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b,22b259079a794da2961bfc6ba85aab7b",3,contextual proximity
bosporus,hamas,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95",8,contextual proximity
bosporus,hamas's financial empire,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2",4,contextual proximity
bosporus,israel,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95",7,contextual proximity
bosporus,man,"760165da660e4cb6919f696042512ac2,760165da660e4cb6919f696042512ac2",2,contextual proximity
business deals,companies,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
business deals,firms,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
business deals,hamas,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",7,contextual proximity
business deals,redin,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,afra mall,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,american officials,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,american sanctions,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,america’s treasury department,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,another firm,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,binance,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,business deals,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,firms,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",4,contextual proximity
companies,firuze segzin,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,hamas,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95",19,contextual proximity
companies,hamas affiliation,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,hamas’s annual revenue,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,hamas’s money,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,investment office,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,investments,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,israel,"e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95,e8705d57244148eda2b7919d4df14f95",4,contextual proximity
companies,israeli officials,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,istanbul’s fatih neighbourhood,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,middle east countries,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,millions of dollars,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,mines near khartoum,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,profits from firms,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,redin,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",4,contextual proximity
companies,revenue streams,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,"sharjah, uae","1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,sudan,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,third firm,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,turkish officials,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies,western regulators,"1f830bf583c64d58bd16743a06aaee08,1f830bf583c64d58bd16743a06aaee08",2,contextual proximity
companies of hamas,doha,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
companies of hamas,hamas,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
companies of hamas,hamas’s bankers,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
companies of hamas,istanbul,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
companies of hamas,recep tayyip erdogan,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
companies of hamas,revenue streams,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
companies of hamas,turkish government,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",3,contextual proximity
companies of hamas,zaher jabarin,"2c5914d3324f414bbc913e65864a803b,2c5914d3324f414bbc913e65864a803b",2,contextual proximity
construction companies,crypto market,"c287c746668948718a578bab547e4c85,c287c746668948718a578bab547e4c85",2,contextual proximity
